key,cat,subcat,757382400,788918400,820454400,852076800,883612800,915148800,946684800,978307200,1009843200,1041379200,1072915200,1104537600,1136073600,1167609600,1199145600,1230768000,1262304000,1293840000,1325376000,1356998400,1388534400
Goods,Goods,All Goods,22464.1,23146,23195.2,23618.1,24261.7,24400.3,24626.6,24530.8,22958.8,22149.3,21715.3,21958.8,22467.6,22438.2,21947.4,19887.6,17715.6,17787.8,18303.8,18579.3,18875.2
Government,Government,All Government,19146.5,19396.8,19450.3,19593.0,19769.7,20084.5,20571.0,20834.9,21377.3,21626.0,21537.9,21734.9,21846.3,22095.0,22387.7,22578.0,22480.2,22260.0,21942.8,21865.2,21832.4
Services ,Services,All Services,17808.7,18437.2,18906.8,19414.5,19768.0,20217.3,20682.0,21104.3,21428.7,21840.6,22164.1,22654.1,23171.0,23800.1,24285.7,24176.8,24050.3,24411.0,25033.5,25609.1,26178.8
