"retailer","city","country","latitude","longitude","freq"
"H&M","","China","28.21349","112.98353",1
"H&M","","China","28.24862","117.05369",1
"H&M","","China","28.36634","114.085016",1
"H&M","","China","28.839436","112.373021",1
"H&M","","China","29.06804","119.59005",1
"H&M","","China","29.0730258","119.6513627",1
"H&M","","China","29.3233586","120.0896132",1
"H&M","","China","29.34125","120.16464",1
"H&M","","China","29.78775","119.68805",1
"H&M","","China","29.8426","121.51",1
"H&M","","China","29.84841","119.61702",1
"H&M","","China","29.868336","121.54399",1
"H&M","","China","29.93815","121.49825",1
"H&M","","China","29.9816789","121.2706281",1
"H&M","","China","29.98375","119.73671",1
"H&M","","China","30.00035","120.59153",1
"H&M","","China","30.053093","117.656891",1
"H&M","","China","30.09528","114.97989",1
"H&M","","China","30.15531","120.28949",1
"H&M","","China","30.17737","121.11752",1
"H&M","","China","30.18539","120.26434",2
"H&M","","China","30.20205","120.279955",1
"H&M","","China","30.208789","119.416863",1
"H&M","","China","30.216634","120.359165",1
"H&M","","China","30.217553","120.35374",1
"H&M","","China","30.221575","120.353325",1
"H&M","","China","30.23371","119.72484",1
"H&M","","China","30.240151","120.554527",1
"H&M","","China","30.243","120.10757",1
"H&M","","China","30.260371","119.947356",1
"H&M","","China","30.3159848","120.174146",1
"H&M","","China","30.325682","120.255362",1
"H&M","","China","30.32958","120.26298",1
"H&M","","China","30.344406","120.286609",1
"H&M","","China","30.353474","120.108698",1
"H&M","","China","30.39879","119.96834",1
"H&M","","China","30.41909","120.29944",1
"H&M","","China","30.42113","120.64315",1
"H&M","","China","30.4487","120.29525",1
"H&M","","China","30.45941","114.1879",1
"H&M","","China","30.47153","120.18378",1
"H&M","","China","30.511163","106.697129",1
"H&M","","China","30.522641","114.260661",1
"H&M","","China","30.54232","119.97751",1
"H&M","","China","30.54818","117.06507",1
"H&M","","China","30.579284","119.934168",1
"H&M","","China","30.69599","121.0226",1
"H&M","","China","30.7052954","121.0091372",1
"H&M","","China","30.734682","119.503818",1
"H&M","","China","30.7870954","121.1895955",1
"H&M","","China","30.90506","121.75624",1
"H&M","","China","30.95038","121.32176",1
"H&M","","China","30.9791","121.447",1
"H&M","","China","31.01192","121.21037",1
"H&M","","China","31.04696","121.76345",1
"H&M","","China","31.05635","120.85241",1
"H&M","","China","31.05958","121.03039",1
"H&M","","China","31.0796","121.253",1
"H&M","","China","31.0986","121.06686",1
"H&M","","China","31.10004","121.51517",1
"H&M","","China","31.116453","121.7565894",1
"H&M","","China","31.149792","121.124264",1
"H&M","","China","31.20302","121.53832",1
"H&M","","China","31.22261","121.54481",1
"H&M","","China","31.222866","120.677199",1
"H&M","","China","31.22522","121.27078",1
"H&M","","China","31.228705","121.268983",1
"H&M","","China","31.237188","120.413381",1
"H&M","","China","31.2416954","120.6168875",1
"H&M","","China","31.24335","120.47823",1
"H&M","","China","31.2523499","120.5215636",1
"H&M","","China","31.26121","121.53903",1
"H&M","","China","31.26208","120.6321",1
"H&M","","China","31.26237","121.67137",1
"H&M","","China","31.26506","118.34845",1
"H&M","","China","31.2746","120.627",2
"H&M","","China","31.27497","120.45178",1
"H&M","","China","31.30426","120.74083",1
"H&M","","China","31.32348","120.6269",1
"H&M","","China","31.33661","121.03986",1
"H&M","","China","31.35574","121.01487",1
"H&M","","China","31.36884","120.64247",1
"H&M","","China","31.3733","121.49895",1
"H&M","","China","31.43471","120.55881",1
"H&M","","China","31.450855","112.170986",1
"H&M","","China","31.4837065","120.6267372",1
"H&M","","China","31.5079264","120.3147175",1
